Detail of Gifts	Item Category	Name of Recipient	Affiliation	Date	Assessed Value	Retention Cost	Retained	Remarks
"a. An  Enamei  Box
Silver  (6x8)  (with
inscription)
b. A  Book  “Maharajas
Jewels”
c. Four  Packet  of
Wallnuts
d. A Kashmiri Shawl"		Mian Muhammad Shehbaz Sharif	Gen Mush	18/03/2005	30000	3000	Yes	Yes
"a. One  Metalic  Model  of
Great  seal  of  US  (in
dull silver color)
b. One Ball pen Cross"	Pen	Mian Muhammad Shehbaz Sharif		18/03/2005	2500	0	Yes	Yes
A Trowel		Mian Muhammad Shehbaz Sharif	Gen Mush	18/03/2005	2000	0	Yes	Yes
"a. A Dagger
b. A  Silver  Decoration
piece
c. Gent’s  wrist  watch
(Balmain)  No.322-
6311-33-84
d. Ladies  wrist  watch
(Balmain)  No.322-
6311-33-84"	Watch	Mian Muhammad Shehbaz Sharif	Gen Mush	19/03/2005	290000	42000	Yes	Yes
"a. A Dagger
b. A shied"		Mian Muhammad Shehbaz Sharif	Gen Mush	19/03/2005	46000	5400	Yes	Yes
A Dagger		Mian Muhammad Shehbaz Sharif	Gen Mush	21/03/2005	14000	600	Yes	Yes
"a. A  souvenir  duly
framed
b. Box of safferanieh
c. Plate  of  Quranic
verses duly framed"		Mian Muhammad Shehbaz Sharif	Gen Mush	21/03/2005	8500	0	Yes	Yes
"A Ball point (Cross) with
Stand"		Mian Muhammad Shehbaz Sharif	Gen Mush	21/03/2005	2000	0	Yes	Yes
"a. A  decoration
piece
b. Five books"	Decoration Pieces	Mian Muhammad Shehbaz Sharif	Gen Mush	21/03/2005	1200	0	Yes	Yes
A ceramic Tray		Mian Muhammad Shehbaz Sharif	Gen Mush	21/03/2005	1000	0	Yes	Yes
Ding (Food Vessel)		Mian Muhammad Shehbaz Sharif	Gen Mush	21/03/2005	500	0	Yes	Yes
"Model  of  Islamic
Development  Bank,
Jeddah"		Mian Muhammad Shehbaz Sharif	Gen Mush	21/03/2005	0	0	Yes	Yes
One Dagger		Mian Muhammad Shehbaz Sharif	Military	19/04/2005	66880	8532	Yes	Yes
A flower Vase	Decoration Pieces	Mian Muhammad Shehbaz Sharif	Gen Mush	21/04/2005	25000	0	"Gift displayed
at PM House"	"Gift displayed
at PM House"
A carpet	Carpet	Mian Muhammad Shehbaz Sharif	Gen Mush	21/04/2005	7000	0	Yes	Yes
A Silver Bowl		Mian Muhammad Shehbaz Sharif	Gen Mush	21/04/2005	1800	0	Yes	Yes
A Chess		Mian Muhammad Shehbaz Sharif	Gen Mush	21/04/2005	0	0	Yes	Yes
Walkman “SONY”		Mian Muhammad Shehbaz Sharif	Gen Mush	21/04/2005	0	0	Yes	Yes
A Crown in 21 kt Gold		Mian Muhammad Shehbaz Sharif	Gen Mush	22/04/2005	29260	2889	Yes	Yes
"a. One  Replica  of
Ghanta Ghar
b. One  (duly  framed)
Wooden  Frame
(Insignia  of  Pakistani
Flag)"		Mian Muhammad Shehbaz Sharif	Gen Mush	22/04/2005	5500	0	"All gifts
displayed at
PM House"	"All gifts
displayed at
PM House"
A camera Olympus		Mian Muhammad Shehbaz Sharif		20/05/2005	12900	435	Yes	Yes
"A  camera  Olympus  C-
170  (Digital  Compact
Camera)"		Mian Muhammad Shehbaz Sharif		20/05/2005	10900	135	Yes	Yes
"One  Decoration  Bowl
(German)  (Silver)
(KARIYER GUMUS)"	Decoration Pieces	Mian Muhammad Shehbaz Sharif		21/06/2005	5000	0	Yes	Yes
"a. A  wrist  watch  Olysse
Nardin  automatic
white  gold  and
diamond
b. One  Jewelry  set  i.e.
Pair  of  earnings  +
Cufflinks  in  gold  &
Diamonds"	Watch	Mian Muhammad Shehbaz Sharif	Military	22/06/2005	907200	134580	Yes	Yes
"a. A brief Case (Delsey)
(Club)
b. A  decoration  piece
(camel  over  a  round
small plate)
c. A  wrist  watch
European Qtz"	Watch	Mian Muhammad Shehbaz Sharif		22/06/2005	25600	2490	Yes	Yes
A Wrist Watch Ventura	Watch	Mian Muhammad Shehbaz Sharif	Police	22/06/2005	14000	600	Yes	Yes
A Wrist Watch Ventura	Watch	Mian Muhammad Shehbaz Sharif	Police	22/06/2005	14000	600	Yes	Yes
A Wrist Watch Ventura	Watch	Mian Muhammad Shehbaz Sharif	Police	22/06/2005	14000	600	Yes	Yes
A Wrist Watch Ventura	Watch	Mian Muhammad Shehbaz Sharif	Police	22/06/2005	14000	600	Yes	Yes
A Wrist Watch Ventura	Watch	Mian Muhammad Shehbaz Sharif	Police	22/06/2005	14000	600	Yes	Yes
"A  wrist  watch  Rolex
DAYTONA (116523)"	Watch	Mian Muhammad Shehbaz Sharif		22/06/2005	550000	0	Auctioned	"Auctioned for
Rs.361,000/-"
One Wrist Watch EDOX	Watch	Mian Muhammad Shehbaz Sharif	Police	22/06/2005	5500	0	Yes	Yes
One Wrist Watch EDOX	Watch	Mian Muhammad Shehbaz Sharif	Police	22/06/2005	5500	0	Yes	Yes
A Wrist Watch EDOX	Watch	Mian Muhammad Shehbaz Sharif	Police	22/06/2005	5500	0	Yes	Yes
One Wrist Watch EDOX	Watch	Mian Muhammad Shehbaz Sharif	Police	22/06/2005	5500	0	Yes	Yes
One Wrist Watch EDOX	Watch	Mian Muhammad Shehbaz Sharif	Police	22/06/2005	5500	0	Yes	Yes
"One  Pair  of  Candle
Stand (silver)"		Mian Muhammad Shehbaz Sharif		22/06/2005	5000	0	Yes	Yes
"A  copy  of  the  Al-Masjid
Al-Nabvi  Tile  in  brown
wooden frame"		Mian Muhammad Shehbaz Sharif		22/06/2005	0	0	Yes	Yes
"a. Two Books
b. A Diary, 2005
c. A  crystal  Model  of
Horse"		Mian Muhammad Shehbaz Sharif	Gen Mush	24/06/2005	9000	0	Yes	Yes
A Model of Elephant		Mian Muhammad Shehbaz Sharif	Gen Mush	24/06/2005	7500	0	Yes	Yes
A table lamp		Mian Muhammad Shehbaz Sharif	Gen Mush	24/06/2005	3500	0	Yes	Yes
"a. One shield
b. One neck tie
c. One T- Shirt"		Mian Muhammad Shehbaz Sharif	Gen Mush	24/06/2005	1200	0	Yes	Yes
One Tractor		Mian Muhammad Shehbaz Sharif		22/07/2005	0	0	"Gift declared
but not
deposited"	"Gift declared
but not
deposited"
"A  Wrist  Watch  Rolex
DAYTONA (116523)"	Watch	Mian Muhammad Shehbaz Sharif		24/08/2005	550000	81000	Yes	Yes
"A  wrist  watch  Tag
Heuer"	Watch	Mian Muhammad Shehbaz Sharif	Media	24/08/2005	70000	9000	Yes	Yes
"a. A brief case
b. A decoration piece
c. A  wrist  watch
European"	Watch	Mian Muhammad Shehbaz Sharif		24/08/2005	26600	2490	Yes	Yes
"One  Jewelry  Box
containing one Necklace
+  one  Ring  +  one
Bracelet  &  pair  of
earrings  in  gold  and
diamonds"		Mian Muhammad Shehbaz Sharif	Military	24/09/2005	506460	74469	Yes	Yes
"One Jewelry  Box
containing  a  ring  +  a
pair  of  earrings  in
palladium and diamonds"		Mian Muhammad Shehbaz Sharif	Military	24/09/2005	59850	7478	Yes	Yes
"Two  decoration  pieces
in silver"	Decoration Pieces	Mian Muhammad Shehbaz Sharif	Military	24/09/2005	26160	2424	Yes	Yes
"a. A Book
b. A  table  set
(containing  ashtray,
pencil  stand,  table
clock,  note  pad  &
card holder)"	Pen	Mian Muhammad Shehbaz Sharif	Gen Mush	26/09/2005	16000	900	Yes	Yes
"A  Kehwa  set  (seven
pieces)"		Mian Muhammad Shehbaz Sharif	Gen Mush	26/09/2005	2000	0	Yes	Yes
"a. A shield
b. Three  pieces  of
Ghilaf-e-Kaba"		Mian Muhammad Shehbaz Sharif	Gen Mush	26/09/2005	0	0	Yes	Yes
"Wooden  Box  containing
a  Silver  Decoration
Bowl"	Decoration Pieces	Mian Muhammad Shehbaz Sharif	Military	25/10/2005	9000	0	Yes	Yes
"a. A carpet
b. A  wall  hanging
(looking mirror)"	Carpet	Mian Muhammad Shehbaz Sharif	Gen Mush	30/10/2005	21200	1680	Yes	Yes
"Two  Mobile  sets 
(Motorola, CE 0168)"		Mian Muhammad Shehbaz Sharif	Gen Mush	29/12/2005	28000	2700	Yes	Yes
One Pen Stand	Pen	Mian Muhammad Shehbaz Sharif	Gen Mush	29/12/2005	45000	0	Auctioned	"Gift auctioned
for Rs.46,100
/-"
"a. One Shield
b. One decoration piece
c. Pair  of  Cup  with
Saucer"	Decoration Pieces	Mian Muhammad Shehbaz Sharif	Gen Mush	29/12/2005	9100	0	Yes	Yes
"One  Chitrali  Chugha
and Cap"		Mian Muhammad Shehbaz Sharif	Gen Mush	29/12/2005	8500	0	Yes	Yes
"One  Ceramic  Plate  with
Stand"		Mian Muhammad Shehbaz Sharif	Gen Mush	29/12/2005	3500	0	Yes	Yes
Small bras box		Mian Muhammad Shehbaz Sharif	Bureaucracy	29/12/2005	1200	0	Yes	Yes
"a. One Shield
b. One book"		Mian Muhammad Shehbaz Sharif	Gen Mush	29/12/2005	0	0	Yes	Yes
"a. One Diary
b. One Table Calendar"		Mian Muhammad Shehbaz Sharif	Gen Mush	29/12/2005	0	0	Yes	Yes
"Small  model  of  Taj
Mahal"		Mian Muhammad Shehbaz Sharif	Bureaucracy	29/12/2005	0	0	Yes	Yes
"One  concord  wrist
watch"	Watch	Military  Secretary  to  the President of Pakistan	Military	23/02/2005	15000	750	Yes	Yes
"One  concord  wrist
watch"	Watch	Military  Secretary  to  the President of Pakistan	Military	23/02/2005	15000	750	Yes	Yes
"One  concord  wrist
watch"	Watch	Military  Secretary  to  the President of Pakistan	Military	23/02/2005	15000	750	Yes	Yes
a. A tie		Military  Secretary  to  the President of Pakistan	Bureaucracy	24/03/2005	100	0	Yes	Yes
"One  Pair  of  Candle
Stand"		Military  Secretary  to  the President of Pakistan	Bureaucracy	25/04/2005	800	0	Yes	Yes
Dinner Set (95 pcs)		"Minister  for  Commerce,  Industries and Production"	Gen Mush	28/02/2005	17000	1050	Yes	Yes
Wrist watch Bvlgari	Watch	"Minister  for  Commerce,  Industries and Production"		28/07/2005	85000	11250	Yes	Yes
One flower vase	Decoration Pieces	"Minister  for  Commerce,  Industries and Production"	Gen Mush	28/07/2005	3000	0	Yes	Yes
"One  portable  DVD
Player"		"Minister  for  Commerce,  Industries and Production"	Gen Mush	28/07/2005	2500	0	Yes	Yes
"a. Three musical CD’s
b. One Jar (Small)
c. Four  Wall  hangings
(small)"		"Minister  for  Food,  Agri. & Livestock"	Gen Mush	27/05/2005	1300	0	Yes	Yes
A ceramic plate		Minister  for  Housing  & Works	Gen Mush	27/05/2005	1000	0	Yes	Yes
One Wall Clock		Minister  for  Information  &  Media Development		27/04/2005	600	0	Yes	Yes
"a. One  Wrist  watch
Bvlgari No.ST 35 8 M
82073
b. One  Wrist  watch
Bvlgari  (ladies)
No.ST 29 8 D81885"	Watch	Minister  for  Information  &  Media Development	Military	29/06/2005	95000	12750	Yes	Yes
"a. One Wrist watch
b. One pen"	Watch	Minister  for  Information  &  Media Development	Bureaucracy	30/07/2005	4300	0	Yes	Yes
"An  Oxidized  Silver
photo frame"		Minister  for  Information  &  Media Development	Bureaucracy	30/07/2005	1500	0	Yes	Yes
"One  Pen  set  i.e.  (Pen  +
ball Point, Mont Blanc)"	Pen	Minister  for  Petroleum  &  Natural Resources	Gen Mush	25/01/2005	60000	7500	Yes	Yes
"a. Two neckties
b. A silver tray"		Minister  for  Petroleum  &  Natural Resources	Gen Mush	25/01/2005	2200	0	Yes	Yes
A wall Hanging		Minister  for  Petroleum  &  Natural Resources	Gen Mush	25/01/2005	1000	0	Yes	Yes
A Jewelry box		Minister  for  Petroleum  &  Natural Resources	Gen Mush	28/02/2005	8500	0	Yes	Yes
"a. A  wrist  watch  Rolex
(Gent’s) No.116523
b. A shield
c. A  wrist  watch 
(gents)  Corum  with
pen
(No.1680741/97320
1-20)
d. Pair of Cufflinks
e. A Necklace
f. Two  Wrist  watches
Cartier"	Watch	Minister  for  Petroleum  &  Natural Resources	Gen Mush	30/06/2005	856820	127023	Yes	Yes
"One  Wrist  Watch
Ventura"	Watch	Minister  for  Petroleum  &  Natural Resources	Military	30/06/2005	14000	600	Yes	Yes
One Bowl		Minister  for  Petroleum  &  Natural Resources	Gen Mush	30/06/2005	6000	0	Yes	Yes
A pen Mont Blanc	Pen	Minister  for  Petroleum  &  Natural Resources		31/08/2005	20000	1500	Yes	Yes
A book “Isfahan”		"Minister  for Finance,  Revenue & Economic Affairs"	Gen Mush	28/02/2005	0	0	Yes	Yes
"Two  wall  hanging  (99
Name  of  Allah  and
Bismillah)"		"Minister  for Finance,  Revenue & Economic Affairs"	Gen Mush	28/07/2005	600	0	Yes	Yes
A flower vase	Decoration Pieces	Minister  of  State  for National  Health Services	Gen Mush	28/02/2005	3500	0	Yes	Yes
"a. One  wrist  watch
Eloga  Swiss-Ref  No."	Watch	Minister for Interior	Bureaucracy	28/02/2005	62000	7800	Yes	Yes
"a. One  Packet
Pistachio,
b. One Flower Vase"	Decoration Pieces	Minister for Railways	Bureaucracy	28/02/2005	2000	0	Yes	Yes
"a. One Book
b. One Sweet
c. One Packet Pistachio"		Minister for Railways	Military	28/02/2005	0	0	Yes	Yes
"a. One Book
b. One Sweet
c. One Packet Pistachio
d. One Flower Vase"	Decoration Pieces	Minister Kashmir Affairs	Military	28/02/2005	2000	0	Yes	Yes
"A  decoration  box  (Blue
Marble Cover)"	Decoration Pieces	Minister Kashmir Affairs	Bureaucracy	30/07/2005	800	0	Yes	Yes
"a. One Sweet
b. One Packet Pistachio
c. One Flower Vase"	Decoration Pieces	"Mir  Faridullah  Khan
Jamali"	Military	28/02/2005	2000	0	Yes	Yes
"a. One Packet Pistachio
b. One Sweet
c. One decoration piece
(wall hanging plate)"	Decoration Pieces	"Mir  Faridullah  Khan
Jamali"		28/02/2005	1000	0	Yes	Yes
"a. One Packet Pistachio
b. One Sweet
c. One Flower Vase"	Decoration Pieces	"Mir  Faridullah  Khan
Jamali"		28/02/2005	700	0	Yes	Yes
"a. One Book
b. One Packet Pistachio"		"Mir  Faridullah  Khan
Jamali"	Bureaucracy	28/02/2005	0	0	Yes	Yes
Two Packet Sweets		Mir  Hazar  Khan  Khoso		28/02/2005	0	0	Yes	Yes
"a. One Packet Pistachio
b. One Sweet
c. One  Bowl  and  Plate
(decoration piece)"	Decoration Pieces	Mir  Zafarullah  Khan		28/02/2005	1500	0	Yes	Yes
"a. One Packet Pistachio
b. One Sweet
c. One decoration piece
(wall hanging plate)"	Decoration Pieces	Mir  Zafarullah  Khan		28/02/2005	1000	0	Yes	Yes
"a. One Packet Pistachio
b. One Sweet
c. One Leather Set"		Mir  Zafarullah  Khan		28/02/2005	500	0	Yes	Yes
"a. One Packet Pistachio
b. One Sweet
c. One Leather Set"		Mir  Zafarullah  Khan		28/02/2005	500	0	Yes	Yes
"a. One Packet Pistachio
b. One Sweet
c. One Leather Set"		Mir  Zafarullah  Khan		28/02/2005	500	0	Yes	Yes
"a. One Packet Pistachio
b. One Sweet
c. One decoration piece"	Decoration Pieces	Mir  Zafarullah  Khan	Military	28/02/2005	0	0	Yes	Yes
"a. One Basket Pistachio
b. One Sweet"		Mir  Zafarullah  Khan		28/02/2005	0	0	Yes	Yes
Two Packet Sweets		Mir  Zafarullah  Khan		28/02/2005	0	0	Yes	Yes
Two Packet Sweets		Mir  Zafarullah  Khan		28/02/2005	0	0	Yes	Yes
Two Packet Sweets		Mir  Zafarullah  Khan		28/02/2005	0	0	Yes	Yes
Two Packet Sweets		Mir  Zafarullah  Khan		28/02/2005	0	0	Yes	Yes
Two Packet Sweets		Mir  Zafarullah  Khan		28/02/2005	0	0	Yes	Yes
"a. A flower vase
b. A pen (Mont Blank)"	Pen	Mir  Zafarullah  Khan	Gen Mush	29/03/2005	42000	4800	Yes	Yes
"One  decoration  piece
(02 pieces)"	Decoration Pieces	Mir  Zafarullah  Khan	Military	02/01/2006	6000	0	Yes	Yes
"One  decoration  piece
(2 pieces)"	Decoration Pieces	Mir  Zafarullah  Khan	Bureaucracy	02/01/2006	4500	0	Yes	Yes
One table clock		Mir  Zafarullah  Khan	Military	02/01/2006	3000	0	Yes	Yes
"a. 12 (broken) Jewelry
items i.e.
Three  Bangles
(broken),  One  ring,
Ear ring one piece,
One  Bracelet,  One
Locket  with  Chain,
3  Lockets  without
chain,  Two  Ear
tops, One Ear ring)
b. One  (Old)  wrist
watch omega"	Watch	Mir  Zafarullah  Khan		03/01/2006	19200	0	Auctioned	"Auctioned
a. For Rs.18,600/-
b. For Rs.990/-"
"a. One  wrist  watch
Rolex (No.118208)
b. One Table Clock
c. One  Wrist  Watch
Rolex (No.179138)"	Watch	Mir  Zafarullah  Khan	Gen Mush	07/01/2006	1853000	276450	Yes	Yes
"a. One  cloth  wall
hanging
b. One  necklace
(pearl)
c. One accessory box"		Mir  Zafarullah  Khan	Gen Mush	07/01/2006	53500	6525	Yes	Yes
"One  pen  Mont  Blank
with  Ink  +  Bottle  of
Ink"	Pen	Mir  Zafarullah  Khan	Gen Mush	07/01/2006	30000	3000	Yes	Yes
Two Carpets	Carpet	Mir  Zafarullah  Khan	Gen Mush	07/01/2006	26500	2475	Yes	Yes
"a. One carpet
b. One statue
c. One  jar  with  Holy
Verses"	Carpet	Mir  Zafarullah  Khan	Gen Mush	07/01/2006	24000	2100	Yes	Yes
"a. One shield
b. One carpet"	Carpet	Mir  Zafarullah  Khan	Gen Mush	07/01/2006	15000	750	Yes	Yes
"One  crown  (Gold
Plated)"		Mir  Zafarullah  Khan	Gen Mush	07/01/2006	9000	0	Yes	Yes
"One Pen Set (One Ball
Point & One Pen)"	Pen	Mir  Zafarullah  Khan	Gen Mush	07/01/2006	7500	0	Yes	Yes
"One  decoration  plate
with stand"	Decoration Pieces	Mir  Zafarullah  Khan	Gen Mush	07/01/2006	6500	0	Yes	Yes
One (Glass) Bowl		Mir  Zafarullah  Khan	Gen Mush	07/01/2006	5000	0	Yes	Yes
One neck-tie		Mir  Zafarullah  Khan	Gen Mush	07/01/2006	3000	0	Yes	Yes
One plate		Mir  Zafarullah  Khan	Gen Mush	07/01/2006	2500	0	Yes	Yes
"a. Six ajraks
b. One Shield"		Mir  Zafarullah  Khan	Gen Mush	07/01/2006	1800	0	Yes	Yes
One Wall hanging		Mir  Zafarullah  Khan	Gen Mush	07/01/2006	1800	0	Yes	Yes
"One  model  of  Bear
(Ceramic) (broken)"		Mir  Zafarullah  Khan	Gen Mush	07/01/2006	1000	0	Yes	Yes
Crystal show piece		Mir  Zafarullah  Khan		17/01/2006	0	750	Yes	Yes
"a. One  jewelry  set
(i.e.  one  Versailles)
one  Necklace,
bracelet,  ring  and"		Mir  Zafarullah  Khan		20/01/2006	1344200	245682	Yes	Yes
One pocket watch	Watch	Mir  Zafarullah  Khan	Bureaucracy	25/01/2006	6000	0	Yes	Yes
"a. One  Golf  Stick  +
Four Golf Balls
b. One  Book,  “Golf
Courses of the PGA
Tours”"		Mir  Zafarullah  Khan	Gen Mush	30/01/2006	15000	750	Yes	Yes
Statue of Bull & Bear		Mir  Zafarullah  Khan	Gen Mush	30/01/2006	4000	0	Yes	Yes
One Silver Plate		Mir  Zafarullah  Khan	Gen Mush	30/01/2006	3000	0	Yes	Yes
One Pewter Bowl		Mir  Zafarullah  Khan	Gen Mush	30/01/2006	3000	0	Yes	Yes
Five T-Shirts		Mir  Zafarullah  Khan	Gen Mush	30/01/2006	2500	0	Yes	Yes
"One Portrait of Capital
of  the  United  State
Washington  duly
framed"		Mir  Zafarullah  Khan	Gen Mush	30/01/2006	1800	0	Yes	Yes
Two Caps		Mir  Zafarullah  Khan	Gen Mush	30/01/2006	1500	0	Yes	Yes
One Cigarette Box	Cigar/Cigarettes	Mir  Zafarullah  Khan	Gen Mush	30/01/2006	1500	0	Yes	Yes
"a. Two  decoration
cups
b. One sugar pot"	Decoration Pieces	Mir  Zafarullah  Khan		30/01/2006	1200	0	Yes	Yes
One Khais		Mir  Zafarullah  Khan	Gen Mush	30/01/2006	1000	0	Yes	Yes
"One  Book,  “The
United States Capital”"		Mir  Zafarullah  Khan	Gen Mush	30/01/2006	0	0	Yes	Yes
"One  Book,  “Mysteries
of  the  Desert”  A  view
of Saudi Arabia"		Mir  Zafarullah  Khan	Gen Mush	30/01/2006	0	0	Yes	Yes
"a. Two  shirts  of
Thomas Pink
b. Two  neckties  of
Thomas Pink
c. Two pair of cufflinks
of Thomas Pink"		Mir  Zafarullah  Khan		01/02/2006	8400	0	Yes	Yes
"One  Jewellery  Set  in
18kt  White  Gold,
Diamonds  and  Rubies
containing: -
a. One Necklace
b. One Bracelet
c. One  Pair  of  Ear"		Mir  Zafarullah  Khan	Gen Mush	05/02/2006	1634000	243600	Yes	Yes
"a. One Blanket
b. One Wall Hanging
c. One  Packet  of
Coffee  &  one
Coffee  Pan  with
pair  of  cup  &
Saucer"		Mir  Zafarullah  Khan	Gen Mush	05/02/2006	19000	0	Yes	Yes
One Silver Bowl		Mir  Zafarullah  Khan	Gen Mush	05/02/2006	2000	0	Yes	Yes
One Table Clock		Mir  Zafarullah  Khan	Gen Mush	05/02/2006	1000	0	Yes	Yes
One Decoration Piece	Decoration Pieces	Mir  Zafarullah  Khan	Gen Mush	05/02/2006	800	0	Yes	Yes
"a. Paper  Weight
(Plastic)
b. A  Pair  of  Copper
Replica  of  Santa
Maria Culture"		Mir  Zafarullah  Khan	Gen Mush	05/02/2006	0	0	Yes	Yes
"One  Model  of  Aero
plane"		Mir  Zafarullah  Khan	Gen Mush	05/02/2006	0	0	Yes	Yes
One Book		Mir  Zafarullah  Khan	Gen Mush	05/02/2006	0	0	Yes	Yes
"One  Necklace  &  One
Pair of Tops"		Mir  Zafarullah  Khan	Gen Mush	14/02/2006	10000	0	Yes	Yes
"One  Bottle  of  Perfume
(Amouage)"		Mir  Zafarullah  Khan	Gen Mush	14/02/2006	9500	0	Yes	Yes
"One  Flower  Vase
(Glass)"	Decoration Pieces	Mir  Zafarullah  Khan	Gen Mush	14/02/2006	7500	0	Yes	Yes
"One  Scenery  (duly
framed)"		Mir  Zafarullah  Khan	Gen Mush	14/02/2006	4000	0	Yes	Yes
One Silver Pot		Mir  Zafarullah  Khan	Bureaucracy	14/02/2006	2500	0	Yes	Yes
"One  Marble  plate
(with  Afghanistan
Map) (stand broken)"		Mir  Zafarullah  Khan	Bureaucracy	14/02/2006	1200	0	Yes	Yes
"Poncho  (Woolen
Shawl)"		Mir  Zafarullah  Khan		15/02/2006	3000	0	Yes	Yes
"New  Man  F20B  MP3
Player (Made in China)"		Mir  Zafarullah  Khan	Military	20/02/2006	1250	0	Yes	Yes
"One  decoration  piece
(A model of Camel & a
Plant of Date)"	Decoration Pieces	Mir  Zafarullah  Khan	Gen Mush	21/02/2006	40000	4500	Yes	Yes
"a. One painting,
b. One saree,"		Mir  Zafarullah  Khan	Gen Mush	21/02/2006	6000	1350	Yes	Yes
"a. One Ceramic plate
b. One  Book  “My  Life
Bill Clinton”"		Mir  Zafarullah  Khan	Gen Mush	21/02/2006	0	0	Yes	Yes
"One  necklace  (27
grams  et  weight  of
gold approx.)"		Mir  Zafarullah  Khan		22/02/2006	29052	0	Auctioned	"Auctioned for
Rs.35,000/-"
"One  Bengal  (18.300
grams net weight gold
approx.)"		Mir  Zafarullah  Khan		22/02/2006	19700	0	Auctioned	"Auctioned for
Rs.20,110/-"
"06 small  items  in gold
(15  grams  of  gold
approx) (broken)"		Mir  Zafarullah  Khan		22/02/2006	16150	0	Auctioned	"Auctioned for
Rs.31,420/-"
"08  medal  (broaches)
(13.600 grams of gold
approx.)"		Mir  Zafarullah  Khan		22/02/2006	14600	0	Auctioned	"Auctioned for
Rs.17,712/-"
"One  carpet  (red,  blue
and brown designed)"	Carpet	Mir  Zafarullah  Khan		26/02/2006	12000	300	Yes	Yes
"a. One  saree
(Jamdani)
b. One painting"		Mir  Zafarullah  Khan		26/02/2006	7700	0	Yes	Yes
Brief Case (Marcobolo)		Mir  Zafarullah  Khan	Bureaucracy	27/02/2006	7000	0	Yes	Yes
One carpet	Carpet	Mir  Zafarullah  Khan	Gen Mush	01/03/2006	14000	600	Yes	Yes
"a. One  tea  set  (24
pieces)
b. One Shield"	Crockery	Mir  Zafarullah  Khan	Gen Mush	01/03/2006	4500	0	Yes	Yes
One Wooden mask		Mir  Zafarullah  Khan	Gen Mush	01/03/2006	0	0	Yes	Yes
One compass		Mir  Zafarullah  Khan	Gen Mush	04/03/2006	0	0	Yes	Yes
"One  book,  “To  Build
Science  and
Technology  for
Civilization  and
National Prosperity”"		Mir  Zafarullah  Khan	Gen Mush	04/03/2006	0	0	Yes	Yes
"a. Torsyk Set  with
silver Tray
b. Book
c. Book
d. Book
e. One Insignia.
f. One Insignia."		Mir  Zafarullah  Khan	PMLN	20/10/2022	85000	0	"S.No.(a)
displayed at
Prime
Minister
House
S.No.(b-f)
deposited
in
Toshakhana"	"S.No.(a)
displayed at
Prime
Minister
House
S.No.(b-f)
deposited
in
Toshakhana"
"One  Carved  wood
panel"		Mir  Zafarullah  Khan	PMLN	20/10/2022	50000	0	No	No
"One  Carved  wood
panel"		Mir  Zafarullah  Khan	PMLN	20/10/2022	50000	0	No	No
"One  decoration  piece
(Peacock)"	Decoration Pieces	Mir Abdul Rahman Jamali	Gen Mush	04/03/2006	2000	0	Yes	Yes
"a. Torsyk Set  with
silver Tray
b. Book
c. Book
d. Book
e. One Insignia.
f. One Insignia."		Mir Zafarullah Khan	PMLN	20/10/2022	85000	0	"S.No.(a)
displayed at
Prime
Minister
House
S.No.(b-f)
deposited
in
Toshakhana"	"S.No.(a)
displayed at
Prime
Minister
House
S.No.(b-f)
deposited
in
Toshakhana"
Model of Yak and Book		Mir.  Ahmed  Waqar	Gen Mush	04/03/2006	7000	0	Yes	Yes
One wall hanging		Miss  Hina  Rabbani  Khar	Gen Mush	04/03/2006	1500	0	Yes	Yes
one Brick		Miss  Hina  Rabbani  Khar	Gen Mush	04/03/2006	0	0	Yes	Yes
"a. One  Model  of
Boeing,
b. One  shield
(Boeing)
c. One ball pen
d. One Key chai
e. Two broachers"		Miss  Hina  Rabbani  Khar	Gen Mush	04/03/2006	0	0	Yes	Yes
"a. Digital  Still  camera
(S800),
b. One  Wrist  watch
(Fiyta),
c. One  Large  TV  (LT
4219-China),
d. One Vase"	"Watch, Tech"	Miss  Hina  Rabbani  Khar		07/03/2006	46500	5475	Yes	Yes
"a. One  dinner  set  (68
pcs)
b. One Lady’s suit"		Miss  Hina  Rabbani  Khar		07/03/2006	15000	750	Yes	Yes
"Model  of  Horse
(Crystal)"		Miss  Hina  Rabbani  Khar		07/03/2006	9000	0	Yes	Yes
"Pair  of  wrist  watches
(Titan) (Brand)"	Watch	Miss  Hina  Rabbani  Khar		07/03/2006	4000	0	Yes	Yes
"a. One tiny jewel box
b. One  small  beauty
box"		Mohammad  Ijaz-ul-Haq		08/03/2006	2500	0	Yes	Yes
"One  small  silver
(rectangular) plate"		Mohammad  Kurshid		08/03/2006	1500	0	Yes	Yes
One Wrist watch Tag	Watch	"Mohammad  Mohsin
Khan"		09/03/2006	70000	9000	Yes	Yes
One Wrist watch Edox	Watch	"Mohammad  Mohsin
Khan"		09/03/2006	5500	0	Yes	Yes
"One  TV  Philips
(No.29PT3323)"		Mohammad  Nafees		11/03/2006	24500	0	Auctioned	"Auctioned for
Rs.14,205/-"
"One  fountain  pen
“DURO” Sterling Silver
378/029"	Pen	Mohib  Ali  Phulpoto	Gen Mush	12/03/2006	25000	2250	Yes	Yes
Two Neck-ties		Mohib  Ali  Phulpoto	Gen Mush	12/03/2006	6000	0	Yes	Yes
One sword		Mohsin  Hassan  Butt	Gen Mush	12/03/2006	4000	0	Yes	Yes
One Wall hanging		Mohsin  Hassan  Butt	Gen Mush	12/03/2006	1500	0	Yes	Yes
